FID,POLYGON_ME,X,Y,F2013LIDAR
185,834,"585,853.646809999950000","7,910,633.918250000100000",4.815000057220000
186,719,"585,678.985627999990000","7,910,633.640979999700000",5.014999866490000
187,722,"585,665.079059000010000","7,910,633.318319999600000",5.138999938960000
188,758,"585,792.535067999970000","7,910,633.211299999600000",4.888999938960000
189,712,"585,709.673202999980000","7,910,633.080489999600000",4.921000003810000
190,724,"585,645.457636000010000","7,910,633.080489999600000",4.875999927520000
191,704,"585,744.964770999970000","7,910,632.952139999700000",4.880000114440000
192,789,"585,820.210120999950000","7,910,632.943520000200000",4.947999954220000
193,723,"585,656.516983999990000","7,910,632.842650000000000",5.184999942780000
194,795,"585,828.442110999950000","7,910,632.206319999900000",4.861999988560000
195,783,"585,816.647021000040000","7,910,631.960590000300000",4.862999916080000
196,827,"585,896.668146000010000","7,910,631.854489999800000",4.922999858860000
197,820,"585,881.110615000010000","7,910,631.695740000300000",4.929999828340000
198,796,"585,839.991471000020000","7,910,629.994749999600000",4.763000011440000
199,786,"585,793.129656999950000","7,910,629.524849999700000",4.859000205990000
200,706,"585,705.511082999990000","7,910,629.156200000100000",4.872000217440000
201,785,"585,800.633364000010000","7,910,629.013500000400000",4.893000125890000
202,703,"585,735.240512000050000","7,910,627.848109999700000",4.960999965670000
203,705,"585,696.949006999960000","7,910,627.491349999800000",4.836999893190000
204,819,"585,873.173099000010000","7,910,627.409490000500000",4.941999912260000
205,615,"585,630.724175999990000","7,910,626.829529999800000",5.058000087740000
206,683,"585,720.970386000000000","7,910,626.421099999900000",4.796000003810000
207,784,"585,806.954372999960000","7,910,626.086570000300000",4.919000148770000
208,614,"585,622.783199999950000","7,910,625.116770000200000",4.967000007630000
209,825,"585,854.599311999980000","7,910,624.075729999700000",4.844999790190000
210,718,"585,678.278926000000000","7,910,623.923820000100000",4.954999923710000
211,617,"585,645.204779000020000","7,910,623.715420000300000",5.072999954220000
212,682,"585,718.116360999990000","7,910,623.567069999900000",4.980999946590000
213,717,"585,691.240956999940000","7,910,623.567069999900000",4.910999774930000
214,828,"585,902.065657000060000","7,910,622.805730000100000",4.921999931340000
215,799,"585,827.582052999990000","7,910,622.131350000400000",4.899000167850000
216,701,"585,736.667525000060000","7,910,622.021139999900000",4.836999893190000
217,641,"585,673.997887999980000","7,910,621.664389999600000",5.133999824520000
218,790,"585,820.492209000050000","7,910,621.152239999700000",4.880000114440000
219,640,"585,662.492072999940000","7,910,620.953730000200000",5.151999950410000
220,616,"585,638.353741000060000","7,910,620.601309999800000",5.175000190730000
221,639,"585,655.814087999980000","7,910,620.541260000300000",5.110000133510000
222,746,"585,750.224143999980000","7,910,620.475209999800000",5.058000087740000
223,618,"585,651.744406000010000","7,910,620.289900000200000",4.974999904630000
224,681,"585,714.786665000020000","7,910,620.237370000200000",4.868000030520000
225,698,"585,695.165242000020000","7,910,620.118459999600000",4.820000171660000
226,823,"585,863.489330000010000","7,910,620.106970000100000",4.814000129700000
227,613,"585,614.063696000030000","7,910,619.978489999700000",5.092000007630000
228,700,"585,710.093741000050000","7,910,619.334889999600000",4.953000068660000
229,747,"585,760.180275000050000","7,910,619.023699999800000",4.828999996190000
230,821,"585,892.064387000050000","7,910,618.995720000000000",4.810999870300000
231,684,"585,731.910815999960000","7,910,618.929279999800000",4.941999912260000
232,829,"585,900.160653000000000","7,910,618.360720000200000",4.835000038150000
233,702,"585,743.879114000010000","7,910,618.262989999700000",4.831999778750000
234,797,"585,846.257612999990000","7,910,618.199649999800000",4.861999988560000
235,699,"585,702.419222000060000","7,910,617.859020000300000",4.921000003810000
236,610,"585,626.520128999950000","7,910,616.552969999600000",4.943999767300000
237,642,"585,675.437540999960000","7,910,616.015549999700000",5.010000228880000
238,697,"585,691.597710000000000","7,910,615.837419999800000",4.942999839780000
239,748,"585,760.105626999980000","7,910,614.678519999600000",4.895999908450000
240,798,"585,836.674101999960000","7,910,613.776499999700000",4.873000144960000
241,818,"585,879.523111999970000","7,910,613.598210000400000",4.868999958040000
242,756,"585,783.988494000050000","7,910,613.069040000400000",4.861999988560000
243,685,"585,735.478347999980000","7,910,612.864480000000000",4.828000068660000
244,822,"585,867.616838000020000","7,910,612.804460000200000",4.901000022890000
245,619,"585,650.187352000040000","7,910,612.037510000200000",5.087999820710000
246,637,"585,604.565666000010000","7,910,611.726099999600000",5.086999893190000
247,609,"585,620.415991000020000","7,910,611.617709999900000",4.894000053410000
248,611,"585,632.592640000050000","7,910,611.258990000000000",5.050000190730000
249,688,"585,745.110682999950000","7,910,610.961790000100000",4.856999874110000
250,608,"585,619.201974999970000","7,910,610.636169999800000",4.955999851230000
251,755,"585,779.755152000000000","7,910,610.105700000200000",4.817999839780000
252,676,"585,692.073380999970000","7,910,609.772619999900000",5.129000186920000
253,677,"585,701.111127999960000","7,910,609.534780000300000",4.894999980930000
254,679,"585,722.754151999950000","7,910,608.940190000500000",4.828000068660000
255,607,"585,614.063696000030000","7,910,608.923410000300000",5.212999820710000
256,753,"585,769.108278000030000","7,910,608.476409999700000",4.888000011440000
257,638,"585,669.961938999940000","7,910,608.456290000100000",4.932000160220000
258,643,"585,677.427504000020000","7,910,608.207440000000000",4.862999916080000
259,815,"585,890.635633999950000","7,910,607.883200000000000",4.920000076290000
260,644,"585,688.646589000010000","7,910,607.833470000000000",4.914000034330000
261,620,"585,651.900111999940000","7,910,607.522060000300000",5.143000125890000
262,791,"585,836.674101999960000","7,910,607.387489999600000",4.801000118260000
263,788,"585,820.824448999950000","7,910,607.264619999600000",4.782999992370000
264,787,"585,805.457415999960000","7,910,607.048569999600000",4.852000236510000
265,814,"585,881.029818000040000","7,910,606.277549999800000",4.796999931340000
266,689,"585,753.791675999990000","7,910,606.205079999800000",4.873000144960000
267,686,"585,735.704964000030000","7,910,606.065969999900000",4.887000083920000
268,612,"585,629.167121000010000","7,910,604.875070000100000",4.955999851230000
269,749,"585,765.988921000040000","7,910,604.496539999700000",5.144999980930000
270,816,"585,892.540638000010000","7,910,603.914440000400000",4.928999900820000
271,678,"585,714.786665000020000","7,910,603.826729999900000",4.931000232700000
272,606,"585,612.506642000050000","7,910,603.473720000100000",5.117000103000000
273,621,"585,647.851770999960000","7,910,603.162309999600000",4.999000072480000
274,680,"585,730.602720999970000","7,910,602.161879999600000",4.848999977110000
275,687,"585,735.835101000030000","7,910,602.161879999600000",4.890999794010000
276,811,"585,871.109345000000000","7,910,602.009429999600000",4.876999855040000
277,824,"585,853.329309000050000","7,910,601.374429999900000",4.894000053410000
278,750,"585,771.367714000050000","7,910,601.103509999800000",4.885000228880000
279,645,"585,690.029835000050000","7,910,601.062839999800000",5.137000083920000
280,675,"585,699.921949999990000","7,910,600.853790000100000",4.842999935150000
281,752,"585,762.211050000040000","7,910,599.676500000100000",5.043000221250000
282,757,"585,792.148684000010000","7,910,599.385649999600000",4.811999797820000
283,635,"585,661.865257999980000","7,910,599.113970000300000",4.919000148770000
284,792,"585,837.902756999950000","7,910,598.909769999800000",4.816999912260000
285,622,"585,644.114840999940000","7,910,598.802550000100000",4.934000015260000
286,690,"585,750.699815000060000","7,910,598.475429999600000",4.941999912260000
287,810,"585,863.648079999960000","7,910,598.199430000000000",4.934000015260000
288,605,"585,617.139516999950000","7,910,597.914269999600000",5.046999931340000
289,691,"585,743.290541999970000","7,910,597.810499999700000",4.869999885560000
290,754,"585,782.645366000010000","7,910,597.719449999700000",4.717999935150000
291,692,"585,741.424233000030000","7,910,597.643009999800000",4.861999988560000
292,817,"585,892.223136999990000","7,910,596.453169999600000",4.869999885560000
293,751,"585,772.208051000020000","7,910,596.401800000100000",4.989999771120000
294,599,"585,629.945647999990000","7,910,594.754209999900000",4.912000179290000
295,604,"585,612.506642000050000","7,910,594.442800000300000",5.137000083920000
296,813,"585,883.491870000030000","7,910,594.389419999900000",4.822000026700000
297,793,"585,835.192014000030000","7,910,594.238060000400000",4.782999992370000
298,623,"585,653.612870999960000","7,910,594.131389999800000",4.982999801640000
299,631,"585,698.767439999970000","7,910,593.664280000100000",4.798999786380000
300,633,"585,691.604991000030000","7,910,593.352869999600000",4.928999900820000
301,812,"585,876.189355000040000","7,910,593.119420000400000",4.984000205990000
302,662,"585,772.806619000040000","7,910,593.052779999600000",4.953999996190000
303,598,"585,621.848967000030000","7,910,592.262930000200000",5.144999980930000
304,674,"585,725.703311000020000","7,910,592.232250000400000",4.880000114440000
305,667,"585,794.211807999990000","7,910,592.220359999700000",4.910999774930000
306,636,"585,672.458212999980000","7,910,591.998619999700000",4.916999816890000
307,603,"585,615.932160999980000","7,910,591.640110000000000",5.039000034330000
308,668,"585,804.235787000040000","7,910,591.512140000200000",4.803999900820000
309,627,"585,704.839950999940000","7,910,591.484400000400000",4.926000118260000
310,632,"585,680.238495999950000","7,910,591.328689999900000",4.949999809270000
311,696,"585,756.277055999960000","7,910,591.150100000200000",4.892000198360000
312,669,"585,816.092668000030000","7,910,590.674429999700000",4.861999988560000
313,661,"585,764.125625999990000","7,910,590.555510000300000",4.853000164030000
314,663,"585,776.968739000030000","7,910,590.079839999800000",4.823999881740000
315,634,"585,668.507672999990000","7,910,589.929290000300000",4.928999900820000
316,597,"585,630.568470000060000","7,910,589.927349999500000",4.932000160220000
317,664,"585,782.557872000030000","7,910,589.485249999900000",4.828000068660000
318,670,"585,820.849376000000000","7,910,589.485249999900000",4.848000049590000
319,628,"585,715.739330000010000","7,910,589.460230000300000",4.932000160220000
320,630,"585,693.006339999960000","7,910,589.304519999800000",4.901999950410000
321,695,"585,755.094754999970000","7,910,589.278119999900000",4.834000110630000
322,794,"585,832.128077000030000","7,910,588.957659999800000",4.837999820710000
323,807,"585,892.381887000050000","7,910,588.174410000400000",4.840000152590000
324,806,"585,884.931697999940000","7,910,587.811839999600000",4.843999862670000
325,800,"585,849.043050999990000","7,910,587.563160000400000",4.868999958040000
326,805,"585,875.715104999950000","7,910,587.363300000300000",4.818999767300000
327,693,"585,747.061220000030000","7,910,587.056830000100000",4.842000007630000
328,804,"585,868.250000000000000","7,910,587.000000000000000",4.914999961850000
329,694,"585,753.423030999950000","7,910,586.631230000400000",4.929999828340000
330,625,"585,663.422311999950000","7,910,585.723299999700000",4.902999877930000
331,672,"585,735.335645999990000","7,910,585.572859999700000",4.867000103000000
332,652,"585,820.100194999950000","7,910,585.442049999700000",4.841000080110000
333,602,"585,610.171060999970000","7,910,585.100479999600000",4.907999992370000
334,596,"585,628.232888999980000","7,910,583.543420000000000",5.035999774930000
335,624,"585,656.882684999960000","7,910,583.543420000000000",4.887000083920000
336,595,"585,622.938904999990000","7,910,583.232010000400000",4.914000034330000
337,673,"585,742.482601000000000","7,910,583.182609999600000",4.813000202180000
338,671,"585,724.751969999980000","7,910,582.718829999700000",4.868999958040000
339,660,"585,764.839131999990000","7,910,581.993440000300000",4.840000152590000
340,626,"585,703.282896999970000","7,910,581.986370000100000",4.964000225070000
341,629,"585,716.050740999980000","7,910,581.830660000400000",4.908999919890000
342,666,"585,795.163150000040000","7,910,581.755599999800000",4.808000087740000
343,808,"585,892.540638000010000","7,910,581.689390000000000",4.882999897000000
344,802,"585,860.631824000040000","7,910,580.419390000400000",4.856999874110000
345,649,"585,832.943307999990000","7,910,580.328590000000000",4.801000118260000
346,588,"585,651.588700999970000","7,910,579.806490000300000",5.076000213620000
347,601,"585,608.925417999970000","7,910,579.495079999800000",4.919000148770000
348,587,"585,644.893368000050000","7,910,579.339379999800000",4.892000198360000
349,801,"585,850.948055000040000","7,910,578.990640000400000",4.755000114440000
350,651,"585,817.127252000030000","7,910,578.663739999800000",4.848999977110000
351,576,"585,697.833208000050000","7,910,578.405150000000000",4.921000003810000
352,600,"585,618.890564000000000","7,910,578.249440000400000",4.882999897000000
353,583,"585,667.782064000030000","7,910,578.093729999800000",4.921999931340000
354,653,"585,806.900327999960000","7,910,577.355650000300000",4.861999988560000
355,578,"585,719.320554999980000","7,910,576.848090000500000",4.875999927520000
356,574,"585,678.992852999950000","7,910,576.692390000400000",5.146999835970000
357,650,"585,849.116117000000000","7,910,575.809720000300000",4.828999996190000
358,655,"585,799.051759000050000","7,910,575.690800000000000",4.926000118260000
359,803,"585,866.981837000000000","7,910,574.704380000000000",4.769999980930000
360,582,"585,664.045134000010000","7,910,574.356800000200000",5.077000141140000
361,575,"585,685.843891000030000","7,910,574.045389999600000",4.948999881740000
362,665,"585,783.984884000030000","7,910,573.907030000400000",4.861999988560000
363,589,"585,652.678639000050000","7,910,573.578280000000000",5.019999980930000
364,658,"585,744.587444999950000","7,910,573.550280000100000",4.835999965670000
365,586,"585,642.246376000000000","7,910,572.799750000200000",4.894000053410000
366,659,"585,758.976488000010000","7,910,572.361100000300000",4.880000114440000
367,593,"585,633.371168000040000","7,910,572.176930000100000",4.883999824520000
368,577,"585,704.684246000020000","7,910,571.865520000500000",4.789000034330000
369,581,"585,656.590182999960000","7,910,571.841640000200000",4.893000125890000
370,594,"585,626.831540000040000","7,910,570.931289999700000",4.908999919890000
371,579,"585,723.836011999990000","7,910,569.997050000400000",4.881999969480000
372,646,"585,845.191833000050000","7,910,568.793569999700000",4.800000190730000
373,809,"585,878.729360000000000","7,910,565.973109999700000",4.806000232700000
374,590,"585,626.520128999950000","7,910,565.793010000100000",4.895999908450000
375,592,"585,633.526872999970000","7,910,565.637299999600000",4.949999809270000
376,585,"585,636.640981000030000","7,910,565.481599999600000",4.927999973300000
377,571,"585,718.230617000020000","7,910,565.325890000000000",4.922999858860000
378,573,"585,667.159241999970000","7,910,565.170190000000000",5.065999984740000
379,455,"585,823.207204999980000","7,910,564.547360000200000",4.880000114440000
380,654,"585,793.581543999960000","7,910,564.274700000000000",4.879000186920000
381,657,"585,783.949208999980000","7,910,563.799030000300000",4.831999778750000
382,647,"585,860.888970999980000","7,910,563.085520000200000",4.997000217440000
383,456,"585,826.686769000020000","7,910,562.928960000200000",4.893000125890000
384,591,"585,632.592640000050000","7,910,562.834599999700000",4.887000083920000
385,569,"585,723.368894999960000","7,910,562.056079999500000",4.986999988560000
386,580,"585,730.362179000050000","7,910,561.904050000000000",4.947999954220000
387,559,"585,737.693792999950000","7,910,561.744669999900000",4.925000190730000
388,572,"585,706.241299999990000","7,910,561.588960000300000",4.900000095370000
389,479,"585,814.020586000060000","7,910,560.966140000100000",4.844999790190000
390,530,"585,655.792747000000000","7,910,560.810429999600000",4.956999778750000
391,570,"585,713.715160000020000","7,910,560.810429999600000",4.928999900820000
392,584,"585,641.779259999980000","7,910,559.876199999800000",5.093999862670000
393,457,"585,836.286459999970000","7,910,558.474849999900000",4.751999855040000
394,454,"585,820.560213000050000","7,910,558.319149999900000",4.763000011440000
395,656,"585,774.792544999970000","7,910,557.377469999700000",4.810999870300000
396,529,"585,647.384654999940000","7,910,557.073499999900000",5.033999919890000
